text,ID,AwT_score,SoE_score
"What is the effect of the chemical in vitro activation (cIVA) protocol compared with fragmentation only (Frag, also known as mechanical IVA) on gene expression, follicle activation and growth in human ovarian tissue in vitro? Although histological assessment shows that cIVA significantly increases follicle survival and growth compared to Frag, both protocols stimulate extensive and nearly identical transcriptomic changes in cultured tissue compared to freshly collected ovarian tissue, including marked changes in energy metabolism and inflammatory responses. Treatments based on cIVA of the phosphatase and tensin homolog (PTEN)-phosphatidylinositol 3-kinase (PI3K) pathway in ovarian tissue followed by auto-transplantation have been administered to patients with refractory premature ovarian insufficiency (POI) and resulted in live births. However, comparable effects with mere tissue fragmentation have been shown, questioning the added value of chemical stimulation that could potentially activate oncogenic responses. Fifty-nine ovarian cortical biopsies were obtained from consenting women undergoing elective caesarean section (C-section). The samples were fragmented for culture studies. Half of the fragments were exposed to bpV (HOpic)+740Y-P (Frag+cIVA group) during the first 24 h of culture, while the other half were cultured with medium only (Frag group). Subsequently, both groups were cultured with medium only for an additional 6 days. Tissue and media samples were collected for histological, transcriptomic, steroid hormone, and cytokine/chemokine analyses at various time points. Effects on follicles were evaluated by counting and scoring serial sections stained with hematoxylin and eosin before and after the 7-day culture. Follicle function was assessed by quantification of steroids by ultra-performance liquid chromatography tandem-mass spectrometry at different time points. Cytokines and chemokines were measured by multiplex assay. Transcriptomic effects were measured by RNA-sequencing (RNA-seq) of the tissue after the initial 24-h culture. Selected differentially expressed genes (DEGs) were validated by quantitative PCR and immunofluorescence in cultured ovarian tissue as well as in KGN cell (human ovarian granulosa-like tumor cell line) culture experiments. Compared to the Frag group, the Frag+cIVA group exhibited a significantly higher follicle survival rate, increased numbers of secondary follicles, and larger follicle sizes. Additionally, the tissue in the Frag+cIVA group produced less dehydroepiandrosterone compared to Frag. Cytokine measurement showed a strong inflammatory response at the start of the culture in both groups. The RNA-seq data revealed modest differences between the Frag+cIVA and Frag groups, with only 164 DEGs identified using a relaxed cut-off of false discovery rate (FDR) <0.1. Apart from the expected PI3K–protein kinase B (Akt) pathway, cIVA also regulated pathways related to hypoxia, cytokines, and inflammation. In comparison to freshly collected ovarian tissue, gene expression in general was markedly affected in both the Frag+cIVA and Frag groups, with a total of 3119 and 2900 DEGs identified (FDR < 0.001), respectively. The top enriched gene sets in both groups included several pathways known to modulate follicle growth such as mammalian target of rapamycin (mTOR)C1 signaling. Significant changes compared to fresh tissue were also observed in the expression of genes encoding for steroidogenesis enzymes and classical granulosa cell markers in both groups. Intriguingly, we discovered a profound upregulation of genes related to glycolysis and its upstream regulator in both Frag and Frag+cIVA groups, and these changes were further boosted by the cIVA treatment. Cell culture experiments confirmed glycolysis-related genes as direct targets of the cIVA drugs. In conclusion, cIVA enhances follicle growth, as expected, but the mechanisms may be more complex than PI3K–Akt–mTOR alone, and the impact on function and quality of the follicles after the culture period remains an open question. Data were deposited in the GEO data base, accession number GSE234765. The code for sequencing analysis can be found in https://github.com/tialiv/IVA_project. Similar to the published IVA protocols, the first steps in our study were performed in an in vitro culture model where the ovarian tissue was isolated from the regulation of hypothalamic–pituitary–ovarian axis. Further in vivo experiments will be needed, for example in xeno-transplantation models, to explore the long-term impacts of the discovered effects. The tissue collected from patients undergoing C-section may not be comparable to tissue of patients with POI. The general impact of fragmentation and short (24 h) in vitro culture on gene expression in ovarian tissue far exceeded the effects of cIVA. Yet, follicle growth was stimulated by cIVA, which may suggest effects on specific cell populations that may be diluted in bulk RNA-seq. Nevertheless, we confirmed the impact of cIVA on glycolysis using a cell culture model, suggesting impacts on cellular signaling beyond the PI3K pathway. The profound changes in inflammation and glycolysis following fragmentation and culture could contribute to follicle activation and loss in ovarian tissue culture, as well as in clinical applications, such as fertility preservation by ovarian tissue auto-transplantation. This study was funded by research grants from European Union’s Horizon 2020 Research and Innovation Programme (Project ERIN No. 952516, FREIA No. 825100), Swedish Research Council VR (2020-02132), StratRegen funding from Karolinska Institutet, KI-China Scholarship Council (CSC) Programme and the Natural Science Foundation of Hunan (2022JJ40782). International Iberian Nanotechnology Laboratory Research was funded by the European Union’s H2020 Project Sinfonia (857253) and SbDToolBox (NORTE-01-0145-FEDER-000047), supported by Norte Portugal Regional Operational Programme (NORTE 2020), under the PORTUGAL 2020 Partnership Agreement, through the European Regional Development Fund. No competing interests are declared.",11128059,0.6,0.15
"Alström syndrome is a form of inherited obesity caused by a single gene abnormality and is inherited as an autosomal recessive trait. It is characterised by a variety of clinical manifestations, including progressive visual and hearing impairment, type 2 diabetes mellitus, dilated cardiomyopathy, and hepatic and renal dysfunction, in addition to obesity. Recent insights underline the pivotal involvement of the disease-associated gene (ALMS1) in cilia formation and function, leading to the classification of its clinical manifestations as a ciliopathy. This review delineates the diverse clinical indicators defining the syndrome and elucidates its pathological underpinnings.",11128078,0.35,0.05
"In recent decades, antibodies have emerged as indispensable therapeutics for combating diseases, particularly viral infections. However, their development has been hindered by limited structural information and labor-intensive engineering processes. Fortunately, significant advancements in deep learning methods have facilitated the precise prediction of protein structure and function by leveraging co-evolution information from homologous proteins. Despite these advances, predicting the conformation of antibodies remains challenging due to their unique evolution and the high flexibility of their antigen-binding regions. Here, to address this challenge, we present the Bio-inspired Antibody Language Model (BALM). This model is trained on a vast dataset comprising 336 million 40% nonredundant unlabeled antibody sequences, capturing both unique and conserved properties specific to antibodies. Notably, BALM showcases exceptional performance across four antigen-binding prediction tasks. Moreover, we introduce BALMFold, an end-to-end method derived from BALM, capable of swiftly predicting full atomic antibody structures from individual sequences. Remarkably, BALMFold outperforms those well-established methods like AlphaFold2, IgFold, ESMFold and OmegaFold in the antibody benchmark, demonstrating significant potential to advance innovative engineering and streamline therapeutic antibody development by reducing the need for unnecessary trials. The BALMFold structure prediction server is freely available at https://beamlab-sh.com/models/BALMFold.",11128484,0,0
"BRAFV600E is the most common genetic mutation in differentiated thyroid cancer (DTC) occurring in 60% of patients and drives malignant tumour cell phenotypes including proliferation, metastasis and immune‐escape. BRAFV600E‐mutated papillary thyroid cancer (PTC) also displays greatly reduced expression of thyroid differentiation markers, thus tendency to radioactive iodine (RAI) refractory and poor prognosis. Therefore, understanding the molecular mechanisms and main oncogenic events underlying BRAFV600E will guide future therapy development. Bioinformatics and clinical specimen analyses, genetic manipulation of BRAFV600E‐induced PTC model, functional and mechanism exploration guided with transcriptomic screening, as well as systematic rescue experiments were applied to investigate miR‐31 function within BRAFV600E‐induced thyroid cancer development. Besides, nanoparticles carrying miR‐31 antagomirs were testified to alleviate 131I iodide therapy on PTC models. We identify miR‐31 as a significantly increased onco‐miR in BRAFV600E‐associated PTC that promotes tumour progression, metastasis and RAI refractoriness via sustained Wnt/β‐catenin signalling. Mechanistically, highly activated BRAF/MAPK pathway induces miR‐31 expression via c‐Jun‐mediated transcriptional regulation across in vitro and transgenic mouse models. MiR‐31 in turn facilitates β‐catenin stabilisation via directly repressing tumour suppressors CEBPA and DACH1, which direct the expression of multiple essential Wnt/β‐catenin pathway inhibitors. Genetic functional assays showed that thyroid‐specific knockout of miR‐31 inhibited BRAFV600E‐induced PTC progression, and strikingly, enhanced expression of sodium‐iodide symporter and other thyroid differentiation markers, thus promoted 131I uptake. Nanoparticle‐mediated application of anti‐miR‐31 antagomirs markedly elevated radio‐sensitivity of BRAFV600E‐induced PTC tumours to 131I therapy, and efficiently suppressed tumour progression in the pre‐clinical mouse model. Our findings elucidate a novel BRAF/MAPK‐miR‐31‐Wnt/β‐catenin regulatory mechanism underlying clinically BRAFV600E‐associated DTC tumourigenesis and dedifferentiation, also highlight a potential adjuvant therapeutic strategy for advanced DTC.",11128713,0.4,0
"A mutation in the steroidogenic acute regulatory protein (STAR) gene, which encodes a protein that plays a crucial role in steroid hormone synthesis, causes a severe form of congenital adrenal hyperplasia (CAH) known as lipoid CAH (LCAH). LCAH presents with primary adrenal insufficiency (PAI) as well as atypical genitalia. Individuals with LCAH require adrenal steroid hormone supplements for survival. Masculinization in males with STAR deficiency varies from incomplete to normal virilization. Radiological examinations reveal enlarged and lipid-laden adrenals. A 10-year-old boy born of second-degree consanguinity presented with weight gain and hyperpigmentation for 1 year. He was diagnosed with PAI at age 7 months and treated with hydrocortisone and fludrocortisone. Dynamic adrenal gland testing revealed undetectable hormone reserves. Imaging detected hypoplastic adrenals and a small testis with testicular adrenal rests (TART). Genetic analysis indicated a novel homozygous pathogenic variant of STAR in exon 7, c.814C > G(pArg272Gly) associated with LCAH (OMIM No. 201710). Testing revealed that asymptomatic family members and relatives were heterozygotes for the variant. The patient was diagnosed with nonclassic LCAH with hypoplastic adrenals and TART. Adequate hormone supplementation resulted in TART regression. This genetic variation is reported for the first time.",11128940,0.6,0.25
"Birt-Hogg-Dubé syndrome, an extremely rare genetic disorder, is characterized by the development of fibrofolliculomas, lung cysts and subsequent recurrent pneumothorax, and kidney neoplasia. This report highlights the case of a 56-year-old female with a history of right vestibular schwannoma status post stereotactic radiotherapy and vulva bartholin’s gland carcinoma who was initially evaluated by primary care for a 6-month history of intermittent, red, raised, widespread rash accompanied by fever, chills, and body aches. A punch biopsy of the rash was performed, which was notable for an urticarial tissue reaction with focal changes of leukocytoclasia and negative direct immunofluorescence. Laboratory tests, which included an autoimmune genetic and periodic fever panel, were unremarkable. Whole genome sequencing returned positive for a pathogenic variant in folliculin gene, consistent with a diagnosis of Birt-Hogg-Dubé syndrome.",11129575,0.55,0.55
"T cells are crucial for adaptive immunity to regulate proper immune response and immune homeostasis. T cell development occurs in the thymus and mainly differentiates into CD4+ and CD8+ T cell subsets. Upon stimulation, naive T cells differentiate into distinct CD4+ helper and CD8+ cytotoxic T cells, which mediate immunity homeostasis and defend against pathogens or tumours. Trace elements are minimal yet essential components of human body that cannot be overlooked, and they participate in enzyme activation, DNA synthesis, antioxidant defence, hormone production, etc. Moreover, trace elements are particularly involved in immune regulations. Here, we have summarized the roles of eight essential trace elements (iron, zinc, selenium, copper, iodine, chromium, molybdenum, cobalt) in T cell development, activation and differentiation, and immune response, which provides significant insights into developing novel approaches to modulate immunoregulation and immunotherapy.",11129730,0.1,0.05
"A female in her 60s with vague abdominal symptoms was found to have a pancreatic mass in her CT scan. A core needle biopsy done endoscopically demonstrated a poorly differentiated adenocarcinoma. The patient completed nine cycles of neoadjuvant systemic mFOLFIRINOX. Repeat staging demonstrated a partial radiographic response. She underwent an open pylorus-preserving pancreatoduodenectomy with segmental superior mesenteric vein resection with primary reconstruction (ISGPS Type 3). The final pathology demonstrated a poorly differentiated adenosquamous carcinoma, R1 margin status. The case report demonstrates the effect of mFOLFIRINOX on pancreatic adenosquamous (PASC) carcinoma with a review of the microscopic pictures following the neoadjuvant therapy. It can be postulated that glandular component being the major component in a PASC has a good response to mFOLFIRINOX like that seen in pancreatic ductal adenocarcinoma with some presumed effect on the squamous component as well. From the above case report, we are proposing that mFOLFIRINOX can be an effective chemotherapy regime in the management of PASC.",11129824,0.15,0.05
"Currently, tumor treatment modalities such as immunotherapy and targeted therapy have more stringent requirements for obtaining tumor growth information and require more accurate and easy‐to‐operate tumor information detection methods. Compared with traditional tissue biopsy, liquid biopsy is a novel, minimally invasive, real‐time detection tool for detecting information directly or indirectly released by tumors in human body fluids, which is more suitable for the requirements of new tumor treatment modalities. Liquid biopsy has not been widely used in clinical practice, and there are fewer reviews of related clinical applications. This review summarizes the clinical applications of liquid biopsy components (e.g., circulating tumor cells, circulating tumor DNA, extracellular vesicles, etc.) in tumorigenesis and progression. This includes the development process and detection techniques of liquid biopsies, early screening of tumors, tumor growth detection, and guiding therapeutic strategies (liquid biopsy‐based personalized medicine and prediction of treatment response). Finally, the current challenges and future directions for clinical applications of liquid biopsy are proposed. In sum, this review will inspire more researchers to use liquid biopsy technology to promote the realization of individualized therapy, improve the efficacy of tumor therapy, and provide better therapeutic options for tumor patients.",11130638,0.1,0.05
"The cestode Taenia hydatigena uses canids, primarily dogs, as definitive hosts, whereas the metacestode larval stage cysticercus infects a range of intermediate hosts, including domestic animals such as goats, sheep and pigs. In this study, we aimed to determine the genetic differences and haplotypes of Cysticercus tenuicollis isolates obtained from sheep and goats slaughtered in the Bingol and Elazig provinces of Turkey. C. tenuicollis isolates were collected from 44 sheep and 26 goats slaughtered in slaughterhouses in Bingol and Elazig. After the isolation of total genomic DNA from C. tenuicollis isolates, the genetic characterization of the partial mitochondrial cytochrome oxidase 1 (CO1) gene region (866 bp) was amplified using specific primers by polymerase chain reaction (PCR), the products were then sequenced, and haplotype and genetic diversity analyses were carried out. As a result of the haplotype network analyses, 34 different haplotypes were detected around the main haplotype (Hap02) arranged in a star‐like configuration and separated from other haplotypes by 1–28 mutation steps and covering 22.85% (16/70) of all isolates. Twenty‐seven polymorphic fields were detected, 77.77% (21/27) of which were parsimony‐informative, and secondary haplotype and nucleotide diversity were observed. Additionally, we detected high intraspecies haplotype diversity (hd: 0.933) and high nucleotide diversity (π: 0.00383), with 27 different nucleotide variation positions among the haplotypes of the isolates. Tajima's D value was negative, indicating population expansion and/or selection purification. The significantly negative Fu's Fs values indicated recent population expansion or the presence of expected rare haplotypes. The results of this study confirmed that C. tenuicollis isolates clustered in one lineage and were closely related to the relevant reference sequences in different countries, confirming the circulation of C. tenuicollis in different geographical regions.",11131354,0.2,0.3
"Copper, a trace element and vital cofactor, plays a crucial role in the maintenance of biological functions. Recent evidence has established significant correlations between copper levels, cancer development and metastasis. The strong redox‐active properties of copper offer both benefits and disadvantages to cancer cells. The intestinal tract, which is primarily responsible for copper uptake and regulation, may suffer from an imbalance in copper homeostasis. Colorectal cancer (CRC) is the most prevalent primary cancer of the intestinal tract and is an aggressive malignant disease with limited therapeutic options. Current research is primarily focused on the relationship between copper and CRC. Innovative concepts, such as cuproplasia and cuproptosis, are being explored to understand copper‐related cellular proliferation and death. Cuproplasia is the regulation of cell proliferation that is mediated by both enzymatic and nonenzymatic copper‐modulated activities. Whereas, cuproptosis refers to cell death induced by excess copper via promoting the abnormal oligomerisation of lipoylated proteins within the tricarboxylic acid cycle, as well as by diminishing the levels of iron‐sulphur cluster proteins. A comprehensive understanding of copper‐related cellular proliferation and death mechanisms offers new avenues for CRC treatment. In this review, we summarise the evolving molecular mechanisms, ranging from abnormal intracellular copper concentrations to the copper‐related proteins that are being discovered, and discuss the role of copper in the pathogenesis, progression and potential therapies for CRC. Understanding the relationship between copper and CRC will help provide a comprehensive theoretical foundation for innovative treatment strategies in CRC management.",11131360,0.15,0.05
"Esophageal cancer (ESCA) is a highly invasive malignant tumor with poor prognosis. This study aimed to discover a generalized and high‐sensitivity immune prognostic signature that could stratify ESCA patients and predict their overall survival, and to discover potential therapeutic drugs by the connectivity map. The key gene modules significantly related to clinical traits (survival time and state) of ESCA patients were selected by weighted gene coexpression network analysis (WCGNA), then the univariate and least absolute shrinkage and selection operator (LASSO) Cox regression analyses were used to construct a 15‐immune‐related gene prognostic signature. The immune‐related risk model was related to clinical and pathologic factors and remained an effective independent prognostic factor. Enrichment analyses revealed that the differentially expressed genes (DEGs) of the high‐ and low‐risk groups were associated with tumor cell proliferation and immune mechanisms. Based on the gathered data, a small molecule drug named perphenazine (PPZ) was elected. The pharmacological analysis indicates that PPZ could help in adjuvant therapy of ESCA through regulation of metabolic process and cellular proliferation, enhancement of immunologic functions, and inhibition of inflammatory reactions. Furthermore, molecular docking was performed to explore and verify the PPZ‐core target interactions. We succeed in structuring the immune‐related prognostic model, which could be used to distinguish and predict patients' survival outcome, and screening a small molecule drug named PPZ. Prospective studies also are needed to further validate its analytical accuracy for estimating prognoses and confirm the potential use of PPZ for treating ESCA.",11131936,0.15,0
"We conducted this systematic review and meta-analysis to better understand the association between rs1799762 PAI-1 gene polymorphism and the risk of RPL. A systematic search for studies that assessed the association between PAI-1 4G/5G polymorphism and RPL risk published in search sources, PubMed/Medline, ISI Web of Knowledge, Scopus, and Google Scholar till January 2024 was conducted. There were 23 case-control studies in total, with a high degree of statistical heterogeneity among them which indicated the need for subgroup analysis. We found a significant positive association between the risk of RPL and 4G/4G PAI-1 (OR: 2.57; 95% CI: 1.69-3.90), likewise 4G/5G (OR: 2/02 95% CI: 1.39-2.92) and mixed genotype (4G/4G+4G/5G) (OR: 2.31 95% CI: 1.81-2.93). Considering the ethnicity, the 4G/4G polymorphism is significantly associated with Asian descent (OR: 2.10; CI: 1.65-2.69) while the strong association (OR: 6.47; CI: 3.23-12.97) observed in the Greater Middle East descent is not statistically significant (P=0.16). PAI-1 4G/5G polymorphism association with RPL was only significant in Greater Middle East descent (OR: 2.93; CI: 2.41-3.56), and mixed genotype was significantly associated with RPL in Asian (OR: 2.37; CI: 1.55-3.61), Greater Middle East (OR: 3.01; CI: 2.16-4.19), and European populations (OR: 1.38; CI: 0.91-2.10). The association between RPL and PAI-1 4G/4G was significant for RPLs both under 12 weeks (OR: 1.82; 95% CI: 1.34-2.47), and under 24 weeks (OR: 1.46; 95% CI: 1.11-1.92), while considering heterozygote form the association was only significant for RPLs under 24 weeks (OR: 1.91; 95% CI: 1.58-2.31). Regarding the mixed genotype, there is a significant positive association between PAI-1 and RPL for RPLs under 12 weeks (OR: 2.09; 95% CI: 1.49-2.93), and under 24 weeks (OR: 2.10; 95% CI: 1.52-2.92). Our findings indicate a significant association between the rs1799762 PAI-1 polymorphism and the risk of RPL.",11134946,0.95,0.9
"A 37-year-old male with type two diabetes presented to the hospital with new-onset heart failure and renal dysfunction. His left ventricular (LV) ejection fraction was less than 10%. Transthoracic echocardiography and cardiovascular magnetic resonance (CMR) imaging also revealed severe bicuspid aortic valve stenosis, dilated cardiomyopathy with LV hypertrophy, prominent LV trabeculations, and features suggestive of mild myocarditis with active inflammation. While myocarditis was suspected on CMR imaging, his mild degree of myocardial involvement did not explain the entirety of his clinical presentation, degree of LV dysfunction, or other structural abnormalities. An extensive work-up for his LV dysfunction was unremarkable for ischemic, metabolic, infiltrative, infectious, toxic, oncologic, connective tissue, and autoimmune etiologies. Genetic testing was positive for a myosin heavy chain 7 (MYH7) variant, which was deemed likely to be a unifying etiology underlying his presentation. The MYH7 sarcomere gene allows beta-myosin expression in heart ventricles, with variants associated with hypertrophic and dilated cardiomyopathies, congenital heart diseases, myocarditis, and excessive trabeculation (formerly known as left ventricular noncompaction). This case highlights the diverse array of cardiac pathologies that can present with MYH7 gene variants and reviews an extensive work-up for this unusual presentation of heart failure in a young patient.",11135834,0.55,0.4
"To report the case of a girl presenting a severe phenotype of mandibuloacral dysplasia type A (MADA) characterized by prominent osteolytic changes and ectodermal defects, associated with a rare homozygous LMNA missense mutation (c.1579C>T). A 6-year-old girl was evaluated during hospitalization exhibiting the following dysmorphic signs: subtotal alopecia, dysmorphic facies with prominent eyes, marked micrognathia and retrognathia, small beaked nose, teeth crowding and thin lips, generalized lipodystrophy, narrow and sloping shoulders, generalized joint stiffness and bone reabsorption in the terminal phalanges. In dermatological examination, atrophic skin, loss of cutaneous elasticity, hyperkeratosis, dermal calcinosis, and hyperpigmented and hypochromic patches were observed. Radiology exams performed showed bilateral absence of the mandibular condyles, clavicle resorption with local amorphous bone mass confluence with the scapulae, shoulder joints with subluxation and severe bone dysplasia, hip dysplasia, osteopenia and subcutaneous calcifications. MADA is a rare autosomal recessive disease caused by mutations in LMNA gene. It is characterized by craniofacial deformities, skeletal anomalies, skin alterations, lipodystrophy in certain regions of the body and premature ageing. Typical MADA is caused by the p.R527H mutation in the LMNA gene. However, molecular analysis performed from oral epithelial cells obtained from the patient showed the rare mutation c.1579C>T, p. R527C in the exon 9 of LMNA. This is the sixth family identified with this mutation described in the literature.",11135898,0.55,0.05
"Current methods of processing archaeological samples combined with advances in sequencing methods lead to disclosure of a large part of H. neanderthalensis and Denisovans genetic information. It is hardly surprising that the genome variability between modern humans, Denisovans and H. neanderthalensis is relatively limited. Genomic studies may provide insight on the metabolism of extinct human species or lineages. Detailed analysis of G-quadruplex sequences in H. neanderthalensis and Denisovans mitochondrial DNA showed us interesting features. Relatively similar patterns in mitochondrial DNA are found compared to modern humans, with one notable exception for H. neanderthalensis. An interesting difference between H. neanderthalensis and H. sapiens corresponds to a motif found in the D-loop region of mtDNA, which is responsible for mitochondrial DNA replication. This area is directly responsible for the number of mitochondria and consequently for the efficient energy metabolism of cell. H. neanderthalensis harbor a long uninterrupted run of guanines in this region, which may cause problems for replication, in contrast with H. sapiens, for which this run is generally shorter and interrupted. One may propose that the predominant H. sapiens motif provided a selective advantage for modern humans regarding mtDNA replication and function.",11137754,0.1,0
"The causes of infertility have remained an important challenge. The relationship between VDR gene polymorphisms and infertility has been reported, with controversial findings. We aimed to determine this relationship by conducting a systematic review and meta-analysis. The study was started with the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) declaration and the final draft was registered as a protocol in PROSPERO (ID: CRD42023416535). The international electronic databases including PubMed (Medline), Scopus, Web of Sciences, and Cumulative Index to Nursing and Allied Health Literature (CINHAL) were searched until January 30, 2023, by using appropriate keywords. The quality of the final studies was assessed using the NOS Checklist for case–control studies. The odds ratios (ORs) for each of the genetic models were pooled, and a subgroup analysis based on geographical region and types of infertility was carried out by the MetaGenyo online tool. Case–control studies including 18 and 2 studies about infertility in women and men, respectively, and 4 miscarriage studies were entered into the meta-analysis. The VDR gene TaqI polymorphism was associated with infertility susceptibility in women in the allele contrast [OR = 1.2065, 95% CI (1.0846–1.3421); P = 0.0005], Recessive model [OR = 1.3836, 95% CI (1.1197–1.7096); P = 0.002], Dominant model [OR = 1.2146, 95% CI (0.0484–1.4072); P = 0.009], Homozygote [OR = 1.4596, 95% CI (1.1627–1.8325); P = 0.001], and TT vs. Tt [OR = 1.2853, 95% CI (1.0249–1.6117); P = 0.029. ApaI and FokI gene polymorphisms were found to be significantly protective SNPs against women and men infertility in the Dominant model [OR = 0.8379, 95% CI (0.7039- 0.9975); P = 0.046] and Recessive model [OR = 0.421, 95% CI (0.1821–0.9767); P = 0.043], respectively. Sub-group meta-analysis showed a protection association of ApaI in dominant [OR = 0.7738, 95% CI = 0.6249–0.9580; P = 0.018] and AA vs. aa [OR = 0.7404, 95 CI% (0.5860–0.9353) P = 0.011725] models in PCOS subgroup, however, a negative association with idiopathic infertility was found in AA vs. Aa [OR = 1.7063, 95% CI (1.1039–2.6375); P = 0.016187] and Aa vs. aa [OR = 0.6069, 95% CI (0.3761–0.9792); P = 0.040754]. TaqI SNP was significantly associated with infertility in the African population and BsmI was associated with the disease mostly in the Asian population. This meta-analysis showed that the TaqI polymorphism may be linked to women’s infertility susceptibility. However, ApaI and FokI might be the protective SNPs against infertility in Women and men, respectively.",11138068,0.9,0.9
"Weight loss and lifestyle interventions are the mainstay of treatment in pediatric NAFLD. There are gaps in the literature on the objective improvement in BMI to meaningfully impact NAFLD in children.   To determine the decrease in BMI associated with a significant decline in ALT and other metabolic parameters.   Retrospective chart review of pediatric patients with the diagnosis of NAFLD. Data were collected at the baseline and 6 and 12 months. A linear regression model was used to assess the percent change in BMI predictive of change in ALT and other metabolic parameters.   281 charts were included. 71% of patients who had up to a 2.5% loss in BMI at 6 months had a decrease in ALT of up to 10 U/L compared to 43% patients who did not have a decrease in BMI up to 2.5% loss at the same time period (P=0.01). The linear regression model showed that 6-month and 12-month percent changes in BMI are predictive of 6-month and 12-month ALT changes (P=0.01 and 0.02), respectively. ALT normalization was achieved on 12% of patients with a ≥2.5% decrease in BMI at 6 months compared to 1% of patients that had no decrease of ≥2.5% decrease in BMI at 6 months (P=0.01). The mean BMI Z-score decline was 0.18 (P=0.001) in the group with a ≥2.5% decrease in BMI at 6 months.   BMI loss of up to 2.5% and the mean BMI Z-score 0.18 are associated with a significant decrease in ALT of up to 10 U/L. BMI percent change at 6 months and 12 months is predictive of changes in ALT. These results should help guide providers in clinical practice set objective goals for the management of children with NAFLD resulting from obesity.",11139528,0.15,0.3
"Ayurveda Rasayana Therapy (ART) may serve as a safe and effective alternative treatment option for chemo‐intolerance high‐grade stage IV follicular lymphoma patients for increasing survival and tumor regression. Follicular lymphoma (FL), also called follicle center lymphoma/nodular lymphoma, observed in the B lymphocytes (B‐cells). Available therapeutic options for follicular lymphoma are associated with various side effects and, patients with co‐morbidities can seldom tolerate the chemotherapy regimens. Rasayana therapy not only resulted in tumor regression and improved survival but also dealt with the adverse effects of previous chemotherapy drugs. Herein, we present a case of a 74‐year‐old female diagnosed with Follicular lymphoma who had undergone three cycles of chemotherapy with unresolved disease outcome and serious adverse events. The patient refused to undergo further cycles of chemotherapy. Her family decided to start Ayurveda treatment for her as an alternative therapy for cancer care. On thorough case taking considering the Ayurveda parameters personalized Rasayana therapy as planned for the patient with an aim for improvement in Quality of Life (QoL), increasing survival, and optimizing body's immune response to fight the tumor. After treatment of 8 months, this case demonstrated partial tumor response as evidenced by PET‐CT‐scan. Quality of Life as evaluated using FACT‐G was also seen improved besides significant improvement in physical performance status evaluated using ECOG. The patient showed a survival of 3.5 years after starting Ayurveda Rasayana Therapy (ART). Rasayana therapy was well tolerated by the patient. This case report indicates the potential role of ART as a therapeutic option in geriatric cancer patients who are not eligible for cytotoxic interventions. Case warrants further systematic investigation to evaluate the potential role of ART in the treatment of geriatric cancer patients.",11139640,0.15,0.05
"Simultaneous inhibition of angiotensin II AT1 and endothelin ETA receptors has emerged as a promising approach for treatment of chronic progressive kidney disease. This therapeutic approach has been advanced by the introduction of sparsentan, the first dual AT1 and ETA receptor antagonist. Sparsentan is a single molecule with high affinity for both receptors. It is US Food and Drug Administration approved for immunoglobulin A nephropathy (IgAN) and is currently being developed as a treatment for rare kidney diseases, such as focal segmental glomerulosclerosis. Clinical studies have demonstrated the efficacy and safety of sparsentan in these conditions. In parallel with clinical development, studies have been conducted to elucidate the mechanisms of action of sparsentan and its position in the context of published evidence characterizing the nephroprotective effects of dual ETA and AT1 receptor inhibition. This review summarizes this evidence, documenting beneficial anti-inflammatory, antifibrotic, and hemodynamic actions of sparsentan in the kidney and protective actions in glomerular endothelial cells, mesangial cells, the tubulointerstitium, and podocytes, thus providing the rationale for the use of sparsentan as therapy for focal segmental glomerulosclerosis and IgAN and suggesting potential benefits in other renal diseases, such as Alport syndrome.",11139641,0.15,0.05
"Colorectal cancer (CRC) is one of the leading cancers worldwide, with metastasis being a major cause of high mortality rates among patients. In this study, dysregulated gene Tweety homolog 3 (TTYH3) was identified by Gene Expression Omnibus database. Public databases were used to predict potential competing endogenous RNAs (ceRNAs) for TTYH3. Quantitative real‐time polymerase chain reaction, western blot, and immunohistochemistry were utilized to analyze TTYH3 and histone deacetylase 7 (HDAC7) levels. Luciferase assays confirmed miR‐1271‐5p directly targeting the 3′ untranslated regions of TTYH3 and HDAC7. In vitro experiments such as transwell and human umbilical vein endothelial cell tube formation, as well as in vivo mouse models, were conducted to assess the biological functions of TTYH3 and HDAC7. We discovered that upregulation of TTYH3 in CRC promotes cell migration by affecting the Epithelial–mesenchymal transition pathway, which was independent of its ion channel activity. Mechanistically, TTYH3 and HDAC7 functioned as ceRNAs, reciprocally regulating each other's expression. TTYH3 competes for binding miR‐1271‐5p, increasing HDAC7 expression, facilitating CRC metastasis and angiogenesis. This study reveals the critical role of TTYH3 in promoting CRC metastasis through ceRNA crosstalk, offering new insights into potential therapeutic targets for clinical intervention.",11141500,0.4,0
